date,product_id,store_id,category,units_sold,price,cost,discount_pct,is_promotion,is_holiday,inventory_level,competitor_price,weather_temp,day_of_week,week_of_year,month
2022-01-03,P104,S3,Fashion,110,68.94,47.15,15,1,0,484,72.49,10.4,0,1,1
2022-01-03,P105,S1,Fashion,114,27.53,18.23,15,1,0,449,25.32,24.7,0,1,1
2022-01-03,P105,S2,Fashion,64,57.17,41.73,5,1,0,374,61.6,17.8,0,1,1
2022-01-03,P105,S3,Fashion,47,60.25,46.47,20,1,0,65,55.08,29.3,0,1,1
2022-01-04,P101,S1,Electronics,69,95.22,68.09,5,1,0,82,94.42,26.4,1,1,1
2022-01-04,P101,S2,Electronics,106,85.63,62.54,10,1,0,446,80.75,21.3,1,1,1
2022-01-04,P101,S3,Electronics,70,46.92,34.31,20,1,0,139,45.43,17.8,1,1,1
2022-01-04,P102,S1,Electronics,96,75.74,54.97,20,1,0,266,80.34,18.5,1,1,1
2022-01-04,P102,S2,Electronics,123,65.48,46.83,10,1,0,145,63.4,37.9,1,1,1
2022-01-04,P102,S3,Electronics,72,80.07,60.13,0,0,0,418,80.15,34.8,1,1,1
2022-01-04,P103,S1,Grocery,144,28.0,17.1,20,1,1,125,27.19,38.7,1,1,1
2022-01-04,P103,S2,Grocery,94,65.88,47.85,20,1,0,445,63.62,30.2,1,1,1
2022-01-04,P103,S3,Grocery,55,82.5,51.37,20,1,0,472,90.69,11.7,1,1,1
2022-01-04,P104,S1,Fashion,139,48.07,29.97,15,1,0,491,49.21,13.0,1,1,1
2022-01-04,P104,S2,Fashion,41,37.81,25.68,10,1,0,54,37.91,17.0,1,1,1
2022-01-04,P104,S3,Fashion,86,90.43,58.54,0,0,0,341,88.19,12.5,1,1,1
2022-01-04,P105,S1,Fashion,90,76.41,49.64,10,1,0,222,68.94,24.1,1,1,1
2022-01-04,P105,S2,Fashion,108,81.38,62.22,0,0,0,397,88.9,21.2,1,1,1
2022-01-04,P105,S3,Fashion,93,62.27,42.8,5,1,0,209,62.97,19.7,1,1,1
2022-01-05,P101,S1,Electronics,137,99.44,61.13,10,1,0,490,99.9,28.9,2,1,1
2022-01-05,P101,S2,Electronics,86,99.67,73.69,10,1,1,490,107.94,38.8,2,1,1
2022-01-05,P101,S3,Electronics,120,28.54,19.04,5,1,0,139,27.9,16.9,2,1,1
2022-01-05,P102,S1,Electronics,57,40.8,28.18,0,0,0,261,41.63,18.1,2,1,1
2022-01-05,P102,S2,Electronics,70,85.8,67.78,20,1,0,499,78.64,36.3,2,1,1
2022-01-05,P102,S3,Electronics,23,22.11,14.93,0,0,0,288,20.56,27.8,2,1,1
2022-01-05,P103,S1,Grocery,100,86.33,61.63,0,0,0,148,80.01,10.4,2,1,1
2022-01-05,P103,S2,Grocery,140,85.03,68.02,10,1,0,102,92.6,35.5,2,1,1
2022-01-05,P103,S3,Grocery,120,36.4,23.67,20,1,0,495,39.16,32.7,2,1,1
2022-01-05,P104,S1,Fashion,148,29.08,21.36,5,1,0,308,29.2,35.6,2,1,1
2022-01-05,P104,S2,Fashion,24,27.07,20.53,0,0,0,352,26.64,33.5,2,1,1
2022-01-05,P104,S3,Fashion,170,37.04,23.23,15,1,1,355,37.7,21.8,2,1,1
2022-01-05,P105,S1,Fashion,85,78.11,55.42,0,0,0,79,80.02,35.9,2,1,1
2022-01-05,P105,S2,Fashion,22,56.75,43.61,0,0,0,118,62.2,24.8,2,1,1
2022-01-05,P105,S3,Fashion,62,39.21,24.12,0,0,0,385,36.48,14.2,2,1,1
2022-01-06,P101,S1,Electronics,28,47.65,37.14,10,1,0,209,44.53,15.8,3,1,1
2022-01-06,P101,S2,Electronics,30,47.61,31.87,20,1,0,182,47.23,16.2,3,1,1
2022-01-06,P101,S3,Electronics,121,46.41,30.83,5,1,0,170,48.15,25.3,3,1,1
2022-01-06,P102,S1,Electronics,66,24.89,16.31,0,0,0,404,23.32,16.3,3,1,1
2022-01-06,P102,S2,Electronics,139,38.89,29.24,5,1,0,63,36.15,14.0,3,1,1
2022-01-06,P102,S3,Electronics,53,60.93,43.05,20,1,0,343,61.33,17.3,3,1,1
2022-01-06,P103,S1,Grocery,62,21.61,14.36,5,1,0,74,23.29,27.8,3,1,1
2022-01-06,P103,S2,Grocery,112,71.91,50.04,15,1,0,83,72.74,27.6,3,1,1
2022-01-06,P103,S3,Grocery,80,42.7,28.72,5,1,0,492,41.47,39.6,3,1,1
2022-01-06,P104,S1,Fashion,70,20.6,13.29,15,1,0,495,19.72,15.2,3,1,1
2022-01-06,P104,S2,Fashion,41,61.96,42.26,15,1,1,55,60.7,39.1,3,1,1
2022-01-06,P104,S3,Fashion,31,98.01,68.42,10,1,0,243,99.12,27.1,3,1,1
2022-01-06,P105,S1,Fashion,83,36.41,28.89,15,1,0,274,38.13,25.9,3,1,1
2022-01-06,P105,S2,Fashion,59,43.09,30.86,10,1,1,382,43.37,11.6,3,1,1
2022-01-06,P105,S3,Fashion,35,63.89,45.35,5,1,0,179,58.62,14.2,3,1,1
2022-01-07,P101,S1,Electronics,36,67.65,46.97,10,1,0,354,72.4,32.4,4,1,1
2022-01-07,P101,S2,Electronics,164,95.07,60.49,10,1,1,369,96.48,35.3,4,1,1
2022-01-07,P101,S3,Electronics,42,83.96,64.23,20,1,0,428,86.21,37.2,4,1,1
2022-01-07,P102,S1,Electronics,77,51.4,39.23,10,1,0,402,53.94,25.1,4,1,1
2022-01-07,P102,S2,Electronics,207,51.32,36.25,20,1,1,484,51.76,22.9,4,1,1
2022-01-07,P102,S3,Electronics,93,46.79,29.38,20,1,0,280,47.48,39.9,4,1,1
2022-01-07,P103,S1,Grocery,60,79.52,48.24,5,1,0,172,83.57,13.1,4,1,1
2022-01-07,P103,S2,Grocery,87,87.72,54.87,20,1,0,206,82.97,31.7,4,1,1
2022-01-07,P103,S3,Grocery,145,67.88,48.4,5,1,0,118,72.31,38.8,4,1,1
2022-01-07,P104,S1,Fashion,31,52.07,36.05,10,1,0,190,48.31,13.0,4,1,1
2022-01-07,P104,S2,Fashion,103,67.44,41.84,15,1,0,342,70.23,14.6,4,1,1
2022-01-07,P104,S3,Fashion,37,53.93,40.3,0,0,1,456,49.86,17.1,4,1,1
2022-01-07,P105,S1,Fashion,69,29.97,23.5,10,1,0,198,29.25,32.3,4,1,1
2022-01-07,P105,S2,Fashion,98,20.37,13.58,15,1,0,124,22.09,24.0,4,1,1
2022-01-07,P105,S3,Fashion,198,56.18,36.23,15,1,1,231,52.54,25.0,4,1,1
2022-01-08,P101,S1,Electronics,145,44.92,33.96,10,1,0,205,42.34,25.5,5,1,1
2022-01-08,P101,S2,Electronics,90,64.58,49.87,20,1,0,376,65.82,12.0,5,1,1
2022-01-08,P101,S3,Electronics,95,91.84,58.87,20,1,0,335,98.03,27.6,5,1,1
2022-01-08,P102,S1,Electronics,64,62.21,43.98,0,0,0,215,65.51,13.1,5,1,1
2022-01-08,P102,S2,Electronics,92,95.69,64.56,5,1,0,211,93.94,10.8,5,1,1
2022-01-08,P102,S3,Electronics,67,89.36,60.91,0,0,0,492,89.46,27.9,5,1,1
2022-01-08,P103,S1,Grocery,115,91.0,64.73,5,1,0,137,95.04,35.7,5,1,1
2022-01-08,P103,S2,Grocery,108,95.55,60.03,5,1,0,312,100.06,35.4,5,1,1
2022-01-08,P103,S3,Grocery,68,66.64,45.6,5,1,1,246,64.53,17.8,5,1,1
2022-01-08,P104,S1,Fashion,133,22.74,17.42,20,1,0,271,22.11,35.8,5,1,1
2022-01-08,P104,S2,Fashion,136,82.38,51.31,10,1,0,177,77.14,24.5,5,1,1
2022-01-08,P104,S3,Fashion,29,63.33,46.02,0,0,0,284,62.34,14.0,5,1,1
2022-01-08,P105,S1,Fashion,152,41.78,25.22,5,1,0,91,42.42,18.2,5,1,1
2022-01-08,P105,S2,Fashion,57,59.8,44.49,20,1,0,76,64.58,36.2,5,1,1
2022-01-08,P105,S3,Fashion,55,70.65,49.37,5,1,1,459,69.3,33.1,5,1,1
2022-01-09,P101,S1,Electronics,26,33.3,24.9,10,1,0,420,31.61,21.7,6,1,1
2022-01-09,P101,S2,Electronics,102,77.52,51.12,10,1,1,104,80.06,38.1,6,1,1
2022-01-09,P101,S3,Electronics,66,41.59,29.45,10,1,0,386,41.56,27.9,6,1,1
2022-01-09,P102,S1,Electronics,43,57.94,38.75,0,0,0,110,60.12,23.0,6,1,1
2022-01-09,P102,S2,Electronics,29,26.22,15.75,10,1,0,403,24.14,19.4,6,1,1
2022-01-09,P102,S3,Electronics,68,30.95,24.45,0,0,0,367,33.78,32.8,6,1,1
2022-01-09,P103,S1,Grocery,146,72.7,53.69,0,0,1,317,68.65,39.6,6,1,1
2022-01-09,P103,S2,Grocery,67,23.53,16.89,0,0,0,135,25.49,11.0,6,1,1
2022-01-09,P103,S3,Grocery,50,35.41,22.06,10,1,1,131,37.14,11.6,6,1,1
2022-01-09,P104,S1,Fashion,99,86.31,52.43,10,1,0,350,79.01,30.9,6,1,1
2022-01-09,P104,S2,Fashion,73,52.36,37.41,0,0,0,458,54.85,25.6,6,1,1
2022-01-09,P104,S3,Fashion,105,21.95,16.99,10,1,0,190,21.44,38.0,6,1,1
2022-01-09,P105,S1,Fashion,88,48.06,36.21,20,1,0,285,49.28,36.2,6,1,1
2022-01-09,P105,S2,Fashion,36,27.34,18.24,15,1,0,226,25.21,20.6,6,1,1
2022-01-09,P105,S3,Fashion,117,77.24,55.45,0,0,1,122,71.21,21.7,6,1,1
2022-01-10,P101,S1,Electronics,101,96.0,72.7,10,1,0,344,103.28,38.3,0,2,1
2022-01-10,P101,S2,Electronics,128,99.13,74.22,15,1,0,197,105.83,16.9,0,2,1
2022-01-10,P101,S3,Electronics,94,23.76,16.08,0,0,0,308,25.31,34.0,0,2,1
2022-01-10,P102,S1,Electronics,140,90.7,71.25,5,1,0,428,88.82,32.7,0,2,1
2022-01-10,P102,S2,Electronics,133,91.79,63.58,20,1,0,138,93.5,27.4,0,2,1
2022-01-10,P102,S3,Electronics,76,41.25,25.82,0,0,0,275,44.24,34.3,0,2,1
2022-01-10,P103,S1,Grocery,31,78.82,51.73,15,1,0,377,81.9,11.5,0,2,1
2022-01-10,P103,S2,Grocery,102,37.61,27.71,20,1,1,163,37.58,24.4,0,2,1
2022-01-10,P103,S3,Grocery,101,65.71,48.12,10,1,0,338,70.68,33.9,0,2,1
2022-01-10,P104,S1,Fashion,153,32.59,20.6,20,1,0,394,35.39,13.2,0,2,1
2022-01-10,P104,S2,Fashion,101,32.69,25.37,5,1,0,80,34.82,13.9,0,2,1
2022-01-10,P104,S3,Fashion,64,92.7,55.64,5,1,0,61,83.54,18.6,0,2,1
2022-01-10,P105,S1,Fashion,46,29.27,19.77,20,1,0,375,28.0,10.6,0,2,1
2022-01-10,P105,S2,Fashion,158,47.35,34.4,20,1,0,245,44.26,33.1,0,2,1
2022-01-10,P105,S3,Fashion,111,76.65,47.02,5,1,0,71,78.51,11.4,0,2,1
2022-01-11,P101,S1,Electronics,111,74.08,51.06,10,1,0,430,72.36,12.0,1,2,1
2022-01-11,P101,S2,Electronics,126,85.5,55.62,5,1,0,275,94.0,22.8,1,2,1
2022-01-11,P101,S3,Electronics,72,62.16,47.57,10,1,0,179,65.55,16.9,1,2,1
2022-01-11,P102,S1,Electronics,110,96.07,60.54,15,1,0,352,94.53,29.2,1,2,1
2022-01-11,P102,S2,Electronics,102,55.38,36.69,5,1,0,64,58.11,16.0,1,2,1
2022-01-11,P102,S3,Electronics,75,49.48,38.24,10,1,1,479,46.55,12.7,1,2,1
2022-01-11,P103,S1,Grocery,60,87.58,65.88,10,1,0,477,79.39,37.6,1,2,1
2022-01-11,P103,S2,Grocery,64,56.97,34.19,0,0,0,389,56.17,16.0,1,2,1
2022-01-11,P103,S3,Grocery,106,72.12,47.97,5,1,0,444,79.11,14.5,1,2,1
2022-01-11,P104,S1,Fashion,150,51.4,35.77,10,1,0,338,56.05,37.2,1,2,1
2022-01-11,P104,S2,Fashion,68,28.39,18.41,0,0,0,129,28.29,16.3,1,2,1
2022-01-11,P104,S3,Fashion,73,20.78,13.83,5,1,0,282,20.16,11.0,1,2,1
2022-01-11,P105,S1,Fashion,51,45.77,36.41,5,1,0,192,43.02,15.0,1,2,1
2022-01-11,P105,S2,Fashion,137,29.94,23.33,0,0,1,408,30.61,19.0,1,2,1
2022-01-11,P105,S3,Fashion,121,77.13,58.64,10,1,0,133,77.94,27.9,1,2,1
2022-01-12,P101,S1,Electronics,29,23.26,14.72,10,1,0,61,22.08,14.8,2,2,1
2022-01-12,P101,S2,Electronics,47,98.07,65.45,20,1,0,232,89.12,14.9,2,2,1
2022-01-12,P101,S3,Electronics,97,38.28,30.59,0,0,0,461,35.98,30.4,2,2,1
2022-01-12,P102,S1,Electronics,83,36.29,27.87,0,0,0,208,35.68,35.4,2,2,1
2022-01-12,P102,S2,Electronics,142,49.68,39.62,5,1,0,145,50.56,10.9,2,2,1
2022-01-12,P102,S3,Electronics,219,89.87,70.11,5,1,1,235,97.29,16.3,2,2,1
2022-01-12,P103,S1,Grocery,75,86.88,56.23,5,1,0,289,88.65,29.0,2,2,1
2022-01-12,P103,S2,Grocery,27,34.48,26.58,20,1,0,365,33.82,27.8,2,2,1
2022-01-12,P103,S3,Grocery,131,67.44,42.67,10,1,0,77,64.17,29.7,2,2,1
2022-01-12,P104,S1,Fashion,75,67.9,46.12,10,1,0,167,63.41,25.6,2,2,1
2022-01-12,P104,S2,Fashion,196,31.66,21.84,10,1,1,362,29.55,15.0,2,2,1
2022-01-12,P104,S3,Fashion,56,48.54,34.3,0,0,0,93,48.02,35.9,2,2,1
2022-01-12,P105,S1,Fashion,77,22.74,18.13,0,0,0,69,20.7,29.2,2,2,1
2022-01-12,P105,S2,Fashion,96,45.29,31.77,15,1,0,230,45.11,30.6,2,2,1
2022-01-12,P105,S3,Fashion,135,71.13,55.02,10,1,0,477,71.59,13.8,2,2,1
2022-01-13,P101,S1,Electronics,96,76.37,48.91,5,1,0,313,71.12,17.0,3,2,1
2022-01-13,P101,S2,Electronics,88,75.41,57.89,5,1,0,463,75.37,28.5,3,2,1
2022-01-13,P101,S3,Electronics,125,29.05,22.05,15,1,0,196,31.61,34.8,3,2,1
2022-01-13,P102,S1,Electronics,109,47.89,30.26,0,0,0,138,51.44,33.5,3,2,1
2022-01-13,P102,S2,Electronics,126,90.28,61.47,15,1,0,131,97.1,19.5,3,2,1
2022-01-13,P102,S3,Electronics,20,29.62,21.0,0,0,0,114,28.83,21.9,3,2,1
2022-01-13,P103,S1,Grocery,80,63.88,45.95,0,0,0,151,58.43,28.1,3,2,1
2022-01-13,P103,S2,Grocery,124,80.75,56.53,20,1,0,353,86.35,37.4,3,2,1
2022-01-13,P103,S3,Grocery,58,50.42,34.27,20,1,0,277,51.5,32.9,3,2,1
2022-01-13,P104,S1,Fashion,78,21.46,13.72,20,1,0,330,22.12,21.4,3,2,1
2022-01-13,P104,S2,Fashion,42,48.13,29.85,20,1,0,422,46.06,19.2,3,2,1
2022-01-13,P104,S3,Fashion,67,66.47,41.08,5,1,0,126,65.33,13.7,3,2,1
2022-01-13,P105,S1,Fashion,109,88.75,67.45,0,0,0,347,96.17,22.7,3,2,1
2022-01-13,P105,S2,Fashion,98,64.02,38.97,5,1,0,190,65.32,34.6,3,2,1
2022-01-13,P105,S3,Fashion,35,83.5,60.9,5,1,0,219,90.18,20.6,3,2,1
2022-01-14,P101,S1,Electronics,70,44.16,32.96,15,1,0,251,46.9,33.0,4,2,1
2022-01-14,P101,S2,Electronics,91,66.93,42.41,10,1,0,210,63.14,12.9,4,2,1
2022-01-14,P101,S3,Electronics,42,38.42,24.64,10,1,0,127,39.43,11.8,4,2,1
2022-01-14,P102,S1,Electronics,113,30.92,22.85,10,1,0,174,32.26,30.8,4,2,1
2022-01-14,P102,S2,Electronics,149,85.5,61.61,5,1,1,158,78.3,12.6,4,2,1
2022-01-14,P102,S3,Electronics,22,52.1,35.08,0,0,0,318,52.29,12.0,4,2,1
2022-01-14,P103,S1,Grocery,60,71.21,46.59,5,1,0,349,68.71,20.0,4,2,1
2022-01-14,P103,S2,Grocery,132,50.28,33.82,10,1,0,335,48.6,27.4,4,2,1
2022-01-14,P103,S3,Grocery,90,34.02,25.11,0,0,0,155,31.28,23.5,4,2,1
2022-01-14,P104,S1,Fashion,62,44.07,35.09,10,1,1,286,40.72,39.2,4,2,1
2022-01-14,P104,S2,Fashion,105,94.16,66.66,0,0,0,133,96.49,12.7,4,2,1
2022-01-14,P104,S3,Fashion,66,68.68,48.17,15,1,0,191,63.43,16.8,4,2,1
2022-01-14,P105,S1,Fashion,107,47.71,30.9,0,0,0,229,45.6,38.3,4,2,1
2022-01-14,P105,S2,Fashion,33,93.55,65.43,15,1,0,61,101.61,13.5,4,2,1
2022-01-14,P105,S3,Fashion,66,73.94,52.24,10,1,0,485,78.66,19.7,4,2,1
2022-01-15,P101,S1,Electronics,148,75.6,50.59,15,1,0,315,80.47,14.0,5,2,1
2022-01-15,P101,S2,Electronics,68,68.51,43.01,20,1,0,474,72.97,30.0,5,2,1
2022-01-15,P101,S3,Electronics,51,22.06,13.84,15,1,0,61,24.12,23.0,5,2,1
2022-01-15,P102,S1,Electronics,120,90.09,59.06,20,1,0,179,92.79,14.6,5,2,1
2022-01-15,P102,S2,Electronics,129,35.34,22.7,10,1,0,464,36.72,39.5,5,2,1
2022-01-15,P102,S3,Electronics,161,25.97,19.65,10,1,0,449,23.7,25.3,5,2,1
2022-01-15,P103,S1,Grocery,48,38.61,24.87,20,1,0,173,41.3,31.7,5,2,1
2022-01-15,P103,S2,Grocery,111,55.98,35.77,10,1,0,63,52.37,21.6,5,2,1
2022-01-15,P103,S3,Grocery,94,53.29,37.11,20,1,0,363,49.98,28.6,5,2,1
2022-01-15,P104,S1,Fashion,142,39.3,31.25,5,1,0,209,39.2,13.3,5,2,1
2022-01-15,P104,S2,Fashion,108,59.95,39.16,20,1,0,245,64.32,17.3,5,2,1
2022-01-15,P104,S3,Fashion,155,50.07,33.99,5,1,0,446,46.4,13.1,5,2,1
2022-01-15,P105,S1,Fashion,77,75.05,51.6,20,1,0,291,68.12,37.1,5,2,1
2022-01-15,P105,S2,Fashion,90,59.64,40.39,0,0,0,493,59.05,36.5,5,2,1
2022-01-15,P105,S3,Fashion,78,60.98,44.88,20,1,0,136,63.62,12.2,5,2,1
2022-01-16,P101,S1,Electronics,56,22.85,16.03,5,1,0,277,22.16,33.2,6,2,1
2022-01-16,P101,S2,Electronics,58,48.39,33.02,20,1,0,401,44.21,22.7,6,2,1
2022-01-16,P101,S3,Electronics,151,91.91,69.53,0,0,1,483,82.91,17.7,6,2,1
2022-01-16,P102,S1,Electronics,78,96.79,67.33,5,1,0,213,92.78,39.4,6,2,1
2022-01-16,P102,S2,Electronics,91,93.62,65.93,15,1,0,59,90.6,37.8,6,2,1
2022-01-16,P102,S3,Electronics,58,50.08,35.56,5,1,0,327,47.81,37.8,6,2,1
2022-01-16,P103,S1,Grocery,94,90.95,66.32,10,1,0,271,97.53,35.4,6,2,1
2022-01-16,P103,S2,Grocery,50,70.89,45.67,15,1,0,305,71.52,39.5,6,2,1
2022-01-16,P103,S3,Grocery,60,78.24,48.63,20,1,0,332,85.51,24.7,6,2,1
2022-01-16,P104,S1,Fashion,83,78.62,55.7,20,1,0,52,75.44,27.0,6,2,1
2022-01-16,P104,S2,Fashion,77,66.17,51.31,20,1,0,411,66.94,34.4,6,2,1
2022-01-16,P104,S3,Fashion,28,99.34,61.58,5,1,0,59,104.16,34.5,6,2,1
2022-01-16,P105,S1,Fashion,113,48.43,36.65,15,1,0,283,50.96,11.1,6,2,1
2022-01-16,P105,S2,Fashion,42,79.96,60.11,15,1,0,292,85.43,24.1,6,2,1
2022-01-16,P105,S3,Fashion,95,49.46,34.12,15,1,0,276,45.88,29.9,6,2,1
2022-01-17,P101,S1,Electronics,52,22.33,14.14,15,1,0,69,21.89,36.2,0,3,1
2022-01-17,P101,S2,Electronics,28,25.19,18.03,15,1,0,303,25.12,28.0,0,3,1
2022-01-17,P101,S3,Electronics,99,86.0,60.17,10,1,0,158,90.23,39.5,0,3,1
2022-01-17,P102,S1,Electronics,150,61.38,42.23,15,1,0,162,60.57,12.7,0,3,1
2022-01-17,P102,S2,Electronics,148,78.85,63.06,15,1,0,210,77.61,29.1,0,3,1
2022-01-17,P102,S3,Electronics,143,74.87,59.77,15,1,0,186,81.62,16.1,0,3,1
2022-01-17,P103,S1,Grocery,28,46.76,28.3,0,0,0,167,44.64,25.5,0,3,1
2022-01-17,P103,S2,Grocery,49,40.74,27.95,10,1,0,369,38.19,34.1,0,3,1
2022-01-17,P103,S3,Grocery,42,76.48,55.54,5,1,1,329,79.99,33.0,0,3,1
2022-01-17,P104,S1,Fashion,98,30.51,20.74,15,1,0,85,27.54,18.5,0,3,1
2022-01-17,P104,S2,Fashion,135,40.94,26.58,15,1,0,443,39.07,32.8,0,3,1
2022-01-17,P104,S3,Fashion,122,41.45,26.17,15,1,0,133,42.44,26.9,0,3,1
2022-01-17,P105,S1,Fashion,93,52.89,35.41,5,1,0,252,57.79,26.8,0,3,1
2022-01-17,P105,S2,Fashion,59,86.23,65.32,0,0,0,70,82.03,29.6,0,3,1
2022-01-17,P105,S3,Fashion,135,47.06,31.14,20,1,0,494,43.43,14.5,0,3,1
2022-01-18,P101,S1,Electronics,119,74.7,52.96,20,1,0,77,78.03,12.0,1,3,1
2022-01-18,P101,S2,Electronics,45,69.03,44.54,5,1,0,390,64.07,29.9,1,3,1
2022-01-18,P101,S3,Electronics,124,56.98,38.88,20,1,0,125,51.99,25.4,1,3,1
2022-01-18,P102,S1,Electronics,29,98.24,74.55,0,0,0,440,105.56,26.3,1,3,1
2022-01-18,P102,S2,Electronics,139,21.44,13.4,15,1,0,460,23.35,26.8,1,3,1
2022-01-18,P102,S3,Electronics,147,64.2,39.73,10,1,1,146,62.8,34.0,1,3,1
2022-01-18,P103,S1,Grocery,53,85.77,57.99,10,1,0,316,80.69,25.7,1,3,1
2022-01-18,P103,S2,Grocery,110,80.6,52.82,0,0,0,481,87.0,25.6,1,3,1
2022-01-18,P103,S3,Grocery,111,83.46,55.36,10,1,0,332,79.74,39.5,1,3,1
2022-01-18,P104,S1,Fashion,24,22.67,15.25,15,1,0,150,22.4,28.5,1,3,1
2022-01-18,P104,S2,Fashion,50,29.41,22.0,0,0,0,424,27.19,31.8,1,3,1
2022-01-18,P104,S3,Fashion,63,90.55,62.07,10,1,0,180,91.05,31.6,1,3,1
2022-01-18,P105,S1,Fashion,25,97.88,65.32,0,0,0,483,90.26,32.8,1,3,1
2022-01-18,P105,S2,Fashion,107,85.73,59.31,20,1,0,180,92.24,25.8,1,3,1
2022-01-18,P105,S3,Fashion,62,86.08,53.38,20,1,0,83,83.46,23.5,1,3,1
2022-01-19,P101,S1,Electronics,72,54.84,39.24,0,0,0,188,58.61,17.6,2,3,1
2022-01-19,P101,S2,Electronics,43,28.51,18.9,15,1,0,250,29.39,39.8,2,3,1
2022-01-19,P101,S3,Electronics,110,47.23,36.52,20,1,0,166,46.36,32.8,2,3,1
2022-01-19,P102,S1,Electronics,47,81.29,61.59,20,1,0,164,87.9,30.1,2,3,1
2022-01-19,P102,S2,Electronics,137,51.18,34.59,15,1,0,239,49.96,39.3,2,3,1
2022-01-19,P102,S3,Electronics,195,21.44,14.67,5,1,1,199,22.98,18.8,2,3,1
2022-01-19,P103,S1,Grocery,111,75.95,58.32,20,1,1,112,76.84,28.8,2,3,1
